Age;Title;Country;Ordered Quantity; Ordered Value ; Returned Value ; Average Order Quantitiy ; Average Order Value ;
;Misses;Germany;273;287.43;1224.51;2.73;2.87;
;Misses;Germany;272;17439.86;8991.90;2.39;152.98;
;Misses;Germany;272;15887.89;698.95;2.18;127.13;
;Misses;Germany;272;1492.18;7181.77;2.34;128.47;
42;Mister;Germany;271;19173.30;1218.91;3.35;233.83;
59;Misses;Germany;27;11299.26;478.67;3.70;154.78;
;Misses;Austria;27;16216.49;5314.48;2.62;123.79;
;Misses;Germany;27;2498.47;13131.94;2.97;225.26;
;Misses;Germany;27;18568.30;883.55;2.93;199.66;
;Misses;Germany;27;16449.10;7476.63;2.21;134.83;
;Misses;Germany;269;178.00;7332.24;2.59;164.24;
;Misses;Germany;269;1454.34;7115.25;2.77;149.53;
;Misses;Germany;268;18217.41;9211.60;2.23;151.81;
;Misses;Germany;268;17479.56;8923.00;2.68;174.80;
;Misses;Germany;267;1483.98;6625.93;2.32;128.97;
;Misses;Germany;267;1413.00;6745.91;2.70;142.45;
;Misses;Germany;267;17471.97;9842.24;2.50;163.29;
;Misses;Germany;266;17638.30;132.30;2.24;148.22;
38;Misses;;265;16233.33;4996.42;1.83;11.44;
;Misses;Germany;265;16335.15;7837.83;2.54;126.63;
41;Misses;;265;1495.47;567.99;1.52;85.66;
;Misses;Austria;264;19644.10;8427.58;2.95;155.96;
;Misses;Germany;264;16187.65;7884.13;2.64;161.88;
;Misses;Germany;264;17194.55;8819.33;2.61;17.24;
;Misses;Germany;263;15363.23;7679.13;2.27;132.44;
37;Misses;;263;21676.34;9785.86;1.83;15.53;
;Misses;Germany;263;1979.40;11774.64;2.66;199.93;
52;Misses;Germany;263;32387.25;13824.50;1.56;191.65;
;Misses;Germany;263;16529.64;7983.64;2.46;154.48;
;Misses;Germany;262;17697.26;1128.92;2.14;143.88;
63;Misses;;262;16167.11;8366.72;2.15;124.36;
;Misses;Germany;262;21998.73;9258.24;2.17;181.88;
;Misses;Germany;261;16196.96;8843.75;2.29;142.79;
;Misses;Germany;261;15228.36;751.88;2.77;117.14;
33;Misses;Germany;26;326.92;2172.60;18.57;216.29;
;Misses;Germany;26;1853.29;115.16;2.24;159.51;
;Misses;Germany;26;15748.41;8244.72;3.59;185.28;
;Misses;Germany;26;2248.45;11843.40;2.23;189.92;
56;Misses;;26;1423.87;675.75;1.82;99.52;
;Misses;Germany;26;263.30;1565.72;2.31;156.74;
;Misses;Germany;259;14327.25;7481.57;2.43;133.90;
;Misses;Austria;259;14722.28;5796.68;2.51;142.93;
;Misses;Germany;258;1464.80;6254.52;2.41;136.49;
44;Misses;;258;25211.48;14826.83;2.39;233.44;
;Misses;Germany;257;9765.74;4451.24;4.79;155.12;
42;Misses;;257;18589.16;9473.73;2.47;178.74;
;Misses;Germany;256;1787.74;7573.58;2.44;162.74;
;Misses;Germany;256;14569.92;7397.24;2.44;138.76;
3;Misses;;256;15868.17;6333.71;1.65;12.38;
;Misses;Germany;255;15887.87;6314.22;2.36;147.20;
;Misses;Germany;255;227.16;12448.95;2.63;28.32;
;Misses;Germany;255;15968.53;7682.30;2.36;147.86;
;Misses;Germany;254;15996.25;8229.51;2.57;161.58;
;Misses;Germany;254;1791.52;8851.77;2.40;168.97;
;Misses;Germany;254;16526.26;5684.71;2.89;187.80;
;Misses;Germany;254;1482.15;6122.00;1.97;19.16;
;Misses;Germany;253;16134.87;8725.48;2.66;169.85;
;Misses;Germany;253;21466.11;166.53;2.75;233.33;
;Misses;Germany;253;13781.99;7135.39;3.47;188.79;
31;Misses;Austria;253;9484.23;4411.16;5.28;197.59;
;Misses;Germany;253;1375.30;6268.57;2.98;161.24;
;Misses;Germany;251;9758.60;6568.40;4.33;168.24;
3;Misses;Germany;251;19272.84;6746.74;9.30;713.89;
;Misses;Germany;251;16535.83;8313.16;2.51;165.36;
28;Misses;Germany;251;9885.47;412.88;8.97;318.89;
57;Misses;;251;12442.86;454.65;1.92;94.26;
;Misses;Germany;25;15825.60;8172.54;2.16;136.42;
;Misses;Germany;25;135.75;624.71;2.44;125.55;
26;Misses;;25;18555.75;6393.37;1.53;113.83;
;Misses;Germany;25;12925.64;677.83;2.63;136.59;
46;Misses;;25;18748.73;11588.12;2.39;178.56;
;Misses;Germany;249;13749.19;589.71;2.24;121.67;
;Misses;Germany;249;2194.28;7914.10;2.47;199.94;
59;Misses;Germany;249;37599.89;29278.60;5.66;854.54;
;Misses;Germany;249;1797.44;687.29;1.99;136.78;
;Misses;Germany;248;18322.50;9918.88;2.23;165.68;
;Misses;Germany;248;1574.93;875.12;2.56;152.27;
;Misses;Germany;247;17622.40;8958.59;2.13;151.91;
26;Misses;;247;2348.76;11234.33;2.19;18.78;
;Misses;Germany;247;17141.33;8521.93;2.38;164.82;
;Misses;Germany;247;17776.68;1282.72;2.27;163.89;
;Misses;Germany;247;14198.68;711.95;2.66;152.67;
;Misses;Germany;247;1646.40;8114.99;2.55;169.69;
62;Misses;;247;17569.85;9965.54;2.13;151.46;
;Misses;Germany;247;13372.29;575.60;2.71;146.95;
;Misses;Germany;246;13898.52;6361.75;3.46;195.75;
;Misses;Germany;246;18976.26;1342.94;2.30;177.35;
;Misses;Germany;246;1774.40;7674.42;2.30;159.57;
;Misses;Germany;246;14979.36;6884.64;2.44;148.31;
;Misses;Germany;246;23317.13;13316.96;2.00;189.57;
;Misses;Germany;246;1215.65;438.57;3.42;141.88;
;Misses;Germany;245;17262.36;8139.40;1.87;131.77;
;Misses;Germany;245;16252.10;926.37;2.69;178.59;
;Misses;Germany;245;16341.12;8944.72;3.46;23.16;
;Misses;Germany;244;13875.90;7428.40;2.49;141.60;
;Misses;Germany;244;16211.73;7352.31;2.85;138.56;
;Misses;Germany;244;14942.29;633.10;2.39;146.49;
;Misses;Germany;244;1987.60;11975.64;2.32;181.79;
;Misses;Germany;243;1388.68;6612.89;2.77;118.23;
;Misses;Germany;243;1225.53;799.75;2.36;118.94;
;Misses;Germany;243;14976.82;8623.63;3.28;22.39;
;Misses;Germany;242;1361.96;5913.75;2.53;136.63;
;Misses;Germany;242;15871.80;8835.90;2.66;174.42;
;Misses;Germany;242;1879.82;9361.60;2.55;196.95;
46;Misses;Germany;241;8677.68;758.35;7.88;255.23;
;Misses;Germany;241;17562.81;7653.40;2.36;172.18;
33;Misses;;241;16419.60;8162.72;2.62;178.47;
;Misses;Germany;241;1644.76;6237.25;2.48;165.50;
;Misses;Germany;241;1413.25;7487.23;2.39;139.64;
;Misses;Germany;241;1457.36;7737.28;2.54;152.80;
;Misses;Germany;241;1632.89;632.57;2.27;153.88;
6;Misses;Germany;241;16394.33;8368.85;3.96;268.76;
35;Misses;;241;12329.36;4352.93;2.42;14.49;
;Misses;Germany;24;15941.14;7419.14;2.26;15.39;
;Misses;Germany;24;162.50;558.75;3.12;21.39;
;Misses;Germany;24;18919.50;8775.43;2.42;191.12;
;Misses;Germany;24;1287.16;539.14;2.70;144.69;
;Misses;Germany;24;19914.55;1396.60;3.38;28.49;
;Misses;Germany;239;1637.71;6519.91;2.78;141.86;
45;Misses;Austria;239;1412.37;6545.97;2.69;158.45;
;Misses;Germany;239;15413.22;7663.61;2.19;141.46;
;Misses;Germany;239;16416.23;9167.54;2.34;16.94;
;Misses;Germany;239;1735.71;5358.84;2.19;159.19;
;Misses;Germany;238;16678.35;125.70;2.27;158.84;
;Misses;Germany;238;11477.69;4691.94;2.16;11.57;
38;Misses;Germany;237;7796.72;3356.85;5.93;194.92;
;Misses;Poland;237;1841.55;5969.88;1.84;142.71;
35;Misses;Austria;236;19775.83;115.41;2.17;181.43;
;Misses;Germany;236;13386.59;5462.99;2.31;131.24;
;Misses;Germany;236;14396.82;6814.53;2.68;163.62;
;Misses;Germany;236;14791.33;6681.14;2.18;126.42;
45;Misses;;236;15138.91;8669.40;2.48;154.48;
;Misses;Germany;236;13924.50;6564.54;3.23;19.75;
;Misses;Germany;235;1491.42;6234.91;3.13;18.66;
;Misses;Germany;235;18969.27;11323.33;3.22;259.85;
4;Misses;Austria;235;1393.10;5431.52;2.97;176.33;
;Misses;Germany;235;11144.99;441.32;2.34;19.26;
;Misses;Germany;235;15533.95;8996.16;2.16;142.51;
;Misses;Germany;234;11527.54;44.32;2.34;115.28;
;Misses;Germany;234;147.90;7363.30;2.75;164.79;
;Misses;Germany;234;15546.18;9437.23;2.28;146.66;
;Misses;Germany;234;13246.95;722.38;2.85;161.55;
;Misses;Germany;234;12537.42;6439.42;2.73;145.78;
;Misses;Germany;234;1536.27;725.10;2.13;139.15;
;Misses;Germany;233;1681.87;8352.71;2.55;18.76;
;Misses;Germany;233;1163.34;611.81;3.17;155.71;
;Misses;Austria;233;14919.58;331.78;2.00;122.29;
;Misses;Germany;233;17141.12;6523.77;2.22;163.25;
;Misses;Germany;233;1425.30;6354.75;1.85;111.40;
;Misses;Germany;233;13796.62;531.46;2.56;151.61;
;Misses;Germany;232;1387.66;648.17;2.34;132.20;
;Misses;Germany;232;1558.84;7788.82;2.52;169.36;
;Misses;Germany;232;1136.81;4343.86;2.76;134.65;
51;Misses;Germany;232;1312.84;7499.80;4.73;21.47;
;Misses;Germany;232;15192.67;7177.12;2.34;153.46;
;Misses;Germany;232;1772.10;8568.74;2.13;162.45;
;Misses;Germany;232;17938.96;179.51;2.25;174.16;
;Misses;Germany;232;12825.40;6152.55;3.18;175.69;
;Misses;Germany;231;14797.61;5184.10;2.38;152.55;
4;Misses;Austria;231;1331.90;7735.81;4.28;241.32;
;Mister;Germany;23;13276.79;1713.47;4.42;255.32;
;Misses;Germany;23;1446.32;5814.73;2.13;133.39;
;Misses;Germany;23;14679.78;5679.75;2.28;145.34;
;Misses;Germany;23;14123.12;6743.88;2.30;141.23;
51;Misses;Austria;228;12431.12;5791.77;2.43;132.25;
;Misses;Germany;228;17424.50;133.61;2.43;185.37;
;Misses;Germany;228;14983.42;716.17;2.45;161.11;
33;Misses;Austria;228;9253.84;5633.65;4.48;181.45;
;Misses;Germany;228;13566.83;643.98;2.55;149.86;
;Misses;Germany;227;14883.72;6875.64;2.64;135.37;
;Misses;Austria;227;14249.32;4862.31;1.98;119.74;
;Misses;Germany;227;14981.90;5924.27;2.14;141.33;
;Misses;Germany;226;12298.61;6619.83;2.83;153.73;
38;Misses;Austria;225;13248.43;5375.50;2.72;159.62;
57;Mister;Germany;225;2314.86;836.90;2.89;26.29;
;Misses;Germany;225;11755.30;5234.79;2.30;119.95;
;Misses;Germany;225;19866.64;11355.85;2.37;29.12;
39;Misses;Austria;224;1559.89;6426.50;2.99;2.80;
;Misses;Germany;224;15115.26;4422.36;2.18;136.17;
;Misses;Germany;224;16396.40;7342.95;2.49;176.32;
;Mister;;224;14294.52;3232.88;1.68;17.48;
;Misses;Germany;223;1255.18;5877.37;2.32;13.26;
;Misses;Germany;223;11567.60;4719.27;2.69;139.36;
42;Misses;Austria;223;1313.38;4428.55;3.33;195.98;
;Misses;Germany;223;13531.66;739.81;2.46;148.70;
;Misses;Germany;222;13189.57;629.98;2.55;151.64;
;Misses;Germany;222;14677.46;7191.92;2.34;154.50;
;Misses;Germany;222;12469.92;5531.29;2.27;127.24;
3;Misses;Austria;222;15812.32;9727.66;3.89;277.49;
;Misses;Germany;222;14322.20;884.66;2.39;154.22;
;Misses;Germany;221;139.54;531.10;2.48;147.85;
;Misses;Germany;221;16368.12;173.14;2.60;192.57;
;Misses;Germany;221;12656.10;6453.58;2.15;122.87;
;Misses;Germany;221;17267.13;11544.24;2.48;194.13;
;Misses;Germany;221;15656.50;865.97;2.46;173.96;
44;Misses;Austria;221;12942.61;6948.34;2.76;161.78;
;Misses;Germany;221;13952.26;9799.91;2.83;178.88;
