Age;Title;Country;Ordered Quantity;Ordered Value in Euro;Returned Value in Euro;Average Order Quantitiy;Average Order Value in Euro
;Misses;Germany;464;30397,41;15940,59;2,62;171,74
;Misses;Germany;462;35127,45;19293,22;2,48;188,86
;Misses;Germany;462;32190,67;19080,53;2,58;179,84
;Misses;Germany;462;23873,60;11837,69;3,23;166,95
;Misses;Germany;461;32436,60;19188,59;2,40;168,94
;Misses;Germany;455;25793,58;11417,35;2,49;140,95
;Misses;Germany;455;31759,17;15825,95;2,38;166,28
;Misses;Germany;455;32798,11;15565,85;2,16;155,44
;Misses;Germany;454;32740,67;17621,26;2,44;176,03
28;Misses;;448;50133,16;32662,47;2,95;329,82
;Misses;Germany;443;28411,13;10783,69;2,68;172,19
;Misses;Germany;436;27904,05;13471,27;2,32;148,43
;Misses;Germany;436;25527,19;12913,59;2,61;152,86
;Misses;Germany;436;28956,76;16381,05;2,40;159,10
;Misses;Germany;436;26253,75;13168,92;2,97;178,60
;Misses;Germany;435;26230,80;11360,43;2,39;144,13
;Misses;Germany;430;25059,02;14566,35;2,76;160,63
53;Misses;;427;27048,98;14406,38;3,31;209,68
;Misses;Germany;422;23382,82;11514,54;3,04;168,22
53;Misses;;422;33651,65;21065,99;2,48;197,95
;Misses;Germany;422;25153,97;12963,07;2,64;157,21
;Misses;Germany;420;25298,52;12200,14;2,44;147,08
54;Misses;;419;31265,36;16460,55;2,29;170,85
;Misses;Germany;419;26570,36;13629,27;2,81;178,32
;Misses;Germany;416;27450,50;14578,19;2,39;157,76
;Misses;Germany;413;23202,15;9461,04;2,55;143,22
;Misses;Germany;413;24716,47;13001,12;2,66;159,46
;Misses;Germany;408;24696,10;14472,54;2,72;164,64
;Misses;Germany;406;26595,49;14730,35;1,80;118,20
;Misses;Germany;403;28110,75;12904,37;2,38;166,34
;Misses;Germany;402;28433,43;14989,49;2,51;177,71
;Misses;Germany;400;22338,88;9664,73;2,86;159,56
;Misses;Germany;399;25156,39;12249,42;3,24;204,52
;Misses;Germany;396;21297,94;10663,23;2,44;131,47
;Misses;Germany;396;22673,53;10905,28;2,69;154,24
;Misses;Germany;395;26670,66;12442,55;2,07;139,64
31;Misses;;394;32468,83;20666,48;2,72;223,92
;Misses;Germany;391;21447,05;12473,03;2,72;148,94
;Misses;Germany;389;26550,15;14265,49;2,39;162,88
;Misses;Germany;386;27016,89;13996,07;2,14;150,09
41;Misses;Austria;386;21916,46;9919,09;3,42;193,95
;Misses;Germany;386;30151,93;16576,77;2,51;195,79
;Misses;Germany;384;28349,48;10955,87;2,21;162,93
;Misses;Germany;384;26585,24;10885,28;2,12;146,88
;Misses;Germany;383;24701,22;13295,89;2,95;190,01
38;Misses;;381;36748,13;24557,72;2,34;225,45
;Misses;Germany;377;24562,53;10568,50;1,97;128,60
;Misses;Germany;376;24658,54;12185,17;2,52;165,49
;Misses;Germany;376;21953,58;11366,39;2,89;168,87
47;Misses;;375;26982,97;10172,84;2,02;145,07
;Misses;Germany;374;22183,33;12495,23;3,09;183,33
;Misses;Germany;373;21426,02;10815,76;2,98;171,41
25;Misses;Germany;372;60923,07;16509,11;1,18;194,02
57;Misses;Germany;372;9986,80;1925,41;6,76;181,58
50;Misses;;371;24469,61;10098,83;2,16;142,27
49;Misses;;370;32403,91;21511,18;2,80;245,48
46;Misses;Germany;369;13527,32;8045,16;21,71;795,72
;Misses;Germany;365;24513,20;11319,17;2,57;172,63
;Misses;Germany;365;20087,06;9334,84;2,61;143,48
40;Misses;Germany;363;0,00;0,00;121,00;0,00
;Misses;Germany;363;22014,50;14485,43;3,42;207,68
46;Misses;;362;23933,82;8247,95;1,75;115,62
30;Misses;;361;34164,33;21364,65;2,76;260,80
;Misses;Germany;361;25239,08;12718,14;2,21;154,84
;Misses;Germany;361;23041,52;12391,02;2,47;157,82
29;Misses;;360;42480,40;29507,62;2,71;319,40
;Misses;Germany;360;21751,06;8376,03;2,79;168,61
;Misses;Germany;360;21112,26;8375,18;3,24;190,20
;Misses;Austria;360;22067,38;7339,65;1,80;110,34
51;Misses;;359;28648,85;17791,92;2,60;207,60
;Misses;Germany;359;25939,66;13158,04;2,14;154,40
55;Misses;;359;31129,53;16104,01;2,16;187,53
;Misses;Germany;356;26454,89;12885,26;2,52;187,62
;Misses;Germany;356;22773,89;11638,27;2,16;138,02
;Misses;Germany;356;23350,46;9186,40;2,06;134,97
;Misses;Germany;355;19211,19;10649,87;3,14;170,01
;Misses;Germany;355;20040,14;9536,66;2,32;130,98
;Misses;Germany;353;24496,70;12616,27;2,09;144,95
45;Misses;;353;20592,55;7304,66;1,83;106,70
;Misses;Germany;352;20603,27;9829,37;2,46;144,08
;Misses;Germany;350;23031,61;10716,42;2,43;159,94
56;Misses;;350;26492,52;14711,86;2,32;175,45
;Mister;Germany;349;25028,79;0,00;12,03;863,06
;Misses;Germany;349;25595,18;13876,23;2,48;181,53
;Misses;Germany;348;21891,77;9098,47;2,38;149,94
;Misses;Germany;348;20153,96;9033,38;2,62;151,53
;Misses;Germany;348;25241,48;13226,09;2,45;177,76
;Misses;Germany;348;25373,55;11107,40;2,34;170,29
;Misses;Germany;347;20398,47;7418,98;2,51;147,82
51;Misses;;347;17517,13;8402,63;2,18;110,17
;Misses;Germany;347;19966,88;6915,51;2,31;133,11
;Misses;Germany;347;25081,27;14147,02;2,69;194,43
;Misses;Germany;345;24448,64;13565,51;2,61;185,22
;Misses;Germany;345;20169,90;11983,81;2,88;168,08
58;Misses;;345;28797,08;16421,41;2,12;176,67
;Misses;Germany;345;22349,49;10666,38;2,33;151,01
;Misses;Germany;343;23981,75;13186,82;2,27;158,82
;Misses;Germany;342;19300,99;9956,71;2,48;139,86
;Misses;Germany;341;24395,39;13527,11;2,44;174,25
;Misses;Germany;340;24179,82;10992,53;1,88;133,59
;Misses;Germany;340;20173,43;9545,13;2,86;169,52
;Misses;Germany;339;19609,66;10019,37;2,57;148,56
;Misses;Germany;338;23415,46;11235,78;2,56;177,39
;Misses;Germany;338;18746,29;10473,40;2,75;152,41
;Misses;Germany;337;24228,22;11272,71;2,48;178,15
;Misses;Germany;337;19607,21;10635,46;2,76;160,71
;Misses;Germany;336;18768,34;10026,70;4,31;240,62
;Misses;Germany;336;19902,31;10366,72;2,56;151,93
;Misses;Germany;334;24808,96;14693,94;2,40;178,48
;Misses;Germany;333;23980,07;13084,40;2,36;170,07
52;Misses;;333;27058,51;13172,16;2,08;169,12
;Misses;Germany;332;19197,47;9476,46;2,89;166,93
;Misses;Germany;331;21490,19;9431,24;2,24;145,20
;Misses;Germany;330;20708,53;12135,13;2,60;163,06
36;Misses;Austria;330;14722,34;6839,31;3,27;145,77
;Misses;Germany;329;21436,48;9736,41;2,96;193,12
;Misses;Germany;328;22054,01;11905,08;2,20;148,01
;Misses;Germany;328;18615,29;10981,47;3,15;178,99
48;Misses;;327;25300,19;17972,78;2,52;194,62
;Misses;;325;41070,39;18745,13;1,36;171,84
;Misses;Germany;324;24391,16;12388,59;2,38;179,35
;Misses;Germany;324;13857,09;6711,46;3,24;138,57
;Misses;Germany;324;28114,32;18313,20;2,49;216,26
;Misses;Germany;323;22120,16;10652,65;2,31;158,00
;Misses;Germany;321;21064,65;9325,76;2,29;150,46
48;Misses;;321;19087,73;8112,49;1,69;100,46
;Misses;Germany;320;18966,40;9538,79;2,94;174,00
57;Misses;;319;23134,19;11966,87;2,14;155,26
;Misses;Germany;318;19735,12;7519,23;2,11;130,70
;Misses;Germany;318;18487,89;9169,44;2,81;163,61
;Misses;Germany;315;22311,71;9067,51;1,81;128,23
;Misses;Germany;313;18182,42;7955,24;1,99;115,81
;Misses;Germany;313;20162,90;11073,04;2,41;155,10
;Misses;Germany;313;18969,02;8704,00;2,22;134,53
42;Misses;;313;22792,41;8639,66;1,92;139,83
;Misses;Germany;313;21407,49;10285,12;2,22;151,83
;Misses;Germany;312;19759,03;8814,08;2,64;167,45
;Misses;Germany;311;18368,60;8792,01;2,57;151,81
;Misses;Germany;311;16255,11;8176,10;2,51;131,09
;Misses;Germany;310;18335,49;9363,16;2,70;159,44
61;Misses;;310;20996,10;11087,33;2,42;164,03
;Misses;Germany;308;24099,40;12928,64;2,04;159,60
;Misses;Germany;307;20622,43;9092,59;2,54;170,43
;Misses;Germany;307;20499,19;9410,28;2,12;141,37
;Misses;Germany;305;19541,70;8890,34;3,05;195,42
;Misses;Germany;304;17975,93;7801,45;3,10;183,43
34;Misses;Germany;304;37780,03;3958,05;1,39;172,51
;Misses;Germany;303;16882,90;10780,68;3,37;187,59
;Misses;Germany;303;22964,05;12361,95;2,42;183,71
;Misses;Germany;303;18996,51;7483,23;2,39;149,58
;Misses;Germany;303;18694,86;12131,59;3,52;217,38
60;Misses;;302;23660,02;14077,56;2,10;164,31
54;Misses;;302;16898,08;7448,48;2,08;116,54
;Misses;Germany;301;19019,63;9915,81;2,33;147,44
;Misses;Germany;301;18046,66;10031,16;3,72;222,80
44;Misses;;300;18896,27;6749,84;1,72;108,60
43;Misses;;300;16762,67;5390,66;1,85;103,47
52;Misses;;300;16975,56;5225,29;1,74;98,70
;Misses;Germany;300;19851,24;9021,22;2,68;177,24
;Misses;Germany;300;20332,51;9720,13;2,86;193,64
;Misses;Germany;300;17243,39;7025,94;2,61;149,94
32;Misses;;299;37019,84;24169,61;2,79;345,98
;Misses;Germany;299;17469,34;8073,00;2,32;135,42
55;Misses;;298;16013,46;6962,17;2,37;127,09
;Misses;Germany;298;19697,74;11228,03;2,98;196,98
47;Misses;;298;25211,76;14014,19;2,13;180,08
;Misses;Germany;297;17434,52;7756,19;2,86;167,64
31;Misses;;297;17942,44;10267,67;1,82;110,08
;Misses;Germany;297;19983,95;9026,76;2,48;166,53
;Misses;Germany;296;15691,53;7289,19;2,57;136,45
39;Mister;Germany;296;45269,23;6827,07;1,62;247,37
;Misses;Germany;296;17069,69;6872,70;2,51;144,66
50;Misses;;296;23999,51;13022,35;2,23;180,45
;Misses;Germany;294;21480,07;16142,37;2,18;159,11
;Misses;Germany;294;19942,17;9928,21;2,10;142,44
;Misses;Germany;294;16128,03;9650,92;3,00;164,57
;Misses;Germany;294;19860,61;11322,52;2,80;189,15
;Misses;Germany;293;15390,70;8180,29;2,76;145,20
46;Misses;Germany;293;34094,98;10698,35;5,86;681,90
;Misses;Germany;293;20479,89;10492,63;2,40;167,87
;Misses;Germany;293;14459,24;6749,73;3,57;176,33
41;Misses;;293;22341,85;14469,96;2,66;203,11
;Misses;Germany;293;20931,54;9739,22;2,42;172,99
;Misses;Germany;293;21442,48;12307,22;3,26;238,25
;Misses;Germany;292;19750,14;10115,69;2,15;145,22
;Misses;Germany;291;20883,29;10397,79;2,43;174,03
;Misses;Austria;291;15997,29;5715,58;2,72;149,51
60;Misses;Germany;291;7437,03;3303,53;12,13;309,88
;Misses;Austria;290;15363,76;3903,28;2,03;107,44
;Misses;Germany;290;17203,06;10612,61;2,59;153,60
;Misses;Germany;290;17748,78;5994,57;2,16;132,45
27;Misses;;290;28038,51;19204,09;2,48;239,65
;Misses;Germany;290;18662,45;12923,48;2,87;184,78
;Misses;Germany;289;18884,88;9764,75;1,89;123,43
;Misses;Germany;289;17515,63;7351,89;2,54;153,65
;Misses;Germany;289;21178,28;9847,99;2,22;162,91
;Misses;Germany;288;21841,85;11414,12;2,07;157,14
;Misses;Germany;288;18041,58;6747,69;2,57;161,09
;Misses;Germany;287;18687,86;9614,30;2,39;155,73
45;Misses;Austria;287;15216,47;8091,62;4,04;214,32
;Misses;Germany;287;20376,03;11478,54;2,33;165,66
;Misses;Germany;286;17661,80;10599,68;2,72;168,21
;Misses;Germany;285;15968,88;8247,35;2,71;152,08
;Misses;Germany;285;16251,30;8624,42;2,61;149,09
;Misses;Germany;285;14874,81;7347,52;2,82;147,28
;Misses;Germany;285;21173,10;10221,81;2,18;161,63
;Misses;Germany;284;16691,18;4871,31;2,18;128,39
;Misses;Germany;284;20419,18;7607,11;2,49;179,12
;Misses;Germany;284;16228,05;7935,39;2,65;151,66
;Misses;Germany;284;19443,15;8339,80;1,91;130,49
59;Misses;;283;20336,12;11647,94;1,99;143,21
;Misses;Germany;283;18152,16;9449,72;2,53;162,07
;Misses;Germany;282;16646,53;8351,42;2,12;125,16
;Misses;Germany;282;18131,42;9038,80;2,56;164,83
;Misses;Germany;282;21935,05;11000,57;2,17;168,73
34;Misses;;282;24149,39;16440,47;2,71;232,21
;Misses;Austria;281;15749,30;5861,16;2,01;112,50
;Misses;Germany;281;17593,46;9363,81;3,02;189,18
;Misses;Germany;279;16890,47;9369,36;2,33;140,75
;Misses;Germany;278;14125,88;7166,36;2,42;122,83
;Misses;Germany;278;17016,91;8291,08;2,55;156,12
;Misses;Germany;278;19132,41;12261,65;3,81;262,09
;Misses;Germany;278;18718,38;10216,51;2,21;148,56
;Misses;Germany;278;18701,77;9901,84;2,67;179,82
;Misses;Germany;277;13846,82;6807,46;2,35;117,35
;Misses;Germany;277;20711,11;8623,92;2,50;186,59
;Misses;Germany;276;24626,04;14004,03;2,63;234,53
33;Misses;;275;23892,34;17376,94;2,59;225,40
;Misses;Germany;275;18303,56;10423,50;2,43;161,98
49;Misses;;275;17450,15;8150,67;1,81;114,80
;Misses;Germany;274;16842,06;10212,12;2,71;166,75
;Misses;Poland;274;15415,75;5727,53;1,99;111,71
;Misses;Germany;274;18491,52;8249,84;2,69;181,29
25;Misses;;274;25433,29;14554,54;2,23;206,77
;Misses;Germany;273;20943,27;13509,14;2,55;195,73
;Misses;Germany;273;18157,21;9206,27;2,46;163,58
;Misses;Germany;273;16196,49;7008,77;2,53;149,97
;Misses;Germany;273;16124,29;6747,92;2,26;133,26
;Misses;Germany;273;18317,70;11404,50;3,96;265,47
;Misses;Germany;273;20087,43;12204,51;2,73;200,87
;Misses;Germany;272;17439,86;8991,90;2,39;152,98
;Misses;Germany;272;15887,89;6980,95;2,18;127,10
;Misses;Germany;272;14902,18;7181,77;2,34;128,47
42;Mister;Germany;271;19173,30;1218,91;3,30;233,82
59;Misses;Germany;270;11299,26;4708,67;3,70;154,78
;Misses;Austria;270;16216,49;5314,48;2,06;123,79
;Misses;Germany;270;20498,47;13131,94;2,97;225,26
;Misses;Germany;270;18568,30;8083,55;2,90;199,66
;Misses;Germany;270;16449,10;7476,63;2,21;134,83
;Misses;Germany;269;17080,00;7332,24;2,59;164,23
;Misses;Germany;269;14504,34;7115,25;2,77;149,53
;Misses;Germany;268;18217,41;9211,60;2,23;151,81
;Misses;Germany;268;17479,56;8923,00;2,68;174,80
;Misses;Germany;267;14830,98;6625,93;2,32;128,97
;Misses;Germany;267;14103,00;6745,91;2,70;142,45
;Misses;Germany;267;17471,97;9842,24;2,50;163,29
;Misses;Germany;266;17638,30;10302,03;2,24;148,22
38;Misses;;265;16233,33;4996,40;1,80;110,43
;Misses;Germany;265;16335,15;7837,83;2,05;126,63
41;Misses;;265;14905,47;5607,99;1,52;85,66
;Misses;Austria;264;19644,10;8427,58;2,10;155,91
;Misses;Germany;264;16187,65;7884,13;2,64;161,88
;Misses;Germany;264;17194,55;8819,33;2,61;170,24
;Misses;Germany;263;15363,23;7679,13;2,27;132,44
37;Misses;;263;21676,34;9785,86;1,83;150,53
;Misses;Germany;263;19790,40;11774,64;2,66;199,90
52;Misses;Germany;263;32387,25;13824,05;1,56;191,64
;Misses;Germany;263;16529,64;7983,64;2,46;154,48
;Misses;Germany;262;17697,26;10128,92;2,13;143,88
63;Misses;;262;16167,11;8366,72;2,02;124,36
;Misses;Germany;262;21998,73;9258,24;2,17;181,81
;Misses;Germany;261;16196,96;8843,75;2,29;142,08
;Misses;Germany;261;15228,36;7501,88;2,01;117,14
33;Misses;Germany;260;3026,92;2172,06;18,57;216,21
;Misses;Germany;260;18503,29;11050,16;2,24;159,51
;Misses;Germany;260;15748,41;8244,72;3,06;185,28
;Misses;Germany;260;22408,45;11843,40;2,20;189,90
56;Misses;;260;14230,87;6075,75;1,82;99,52
;Misses;Germany;260;20063,03;10565,72;2,03;156,74
;Misses;Germany;259;14327,25;7481,57;2,42;133,90
;Misses;Austria;259;14722,28;5796,68;2,51;142,93
;Misses;Germany;258;14604,08;6254,52;2,41;136,49
44;Misses;;258;25211,48;14826,83;2,39;233,44
;Misses;Germany;257;9765,74;4451,24;4,08;155,01
42;Misses;;257;18589,16;9473,73;2,47;178,74
;Misses;Germany;256;17087,74;7573,58;2,44;162,74
;Misses;Germany;256;14569,92;7397,24;2,44;138,76
30;Misses;;256;15868,17;6333,71;1,65;102,38
;Misses;Germany;255;15887,87;6314,22;2,36;147,11
;Misses;Germany;255;20207,16;12448,95;2,63;208,32
;Misses;Germany;255;15968,53;7682,30;2,36;147,86
;Misses;Germany;254;15996,25;8229,51;2,57;161,58
;Misses;Germany;254;17910,52;8851,77;2,40;168,97
;Misses;Germany;254;16526,26;5684,71;2,89;187,80
;Misses;Germany;254;14082,15;6122,00;1,97;109,16
;Misses;Germany;253;16134,87;8725,48;2,66;169,84
;Misses;Germany;253;21466,11;10606,53;2,75;233,33
;Misses;Germany;253;13781,99;7135,39;3,47;188,79
31;Misses;Austria;253;9484,23;4411,16;5,27;197,59
;Misses;Germany;253;13705,30;6268,57;2,98;161,24
;Misses;Germany;251;9758,06;6568,40;4,33;168,24
30;Misses;Germany;251;19272,84;6746,74;9,30;713,81
;Misses;Germany;251;16535,83;8313,16;2,51;165,36
28;Misses;Germany;251;9885,47;4120,88;8,10;318,89
57;Misses;;251;12442,09;4540,65;1,90;94,26
;Misses;Germany;250;15825,06;8172,54;2,16;136,42
;Misses;Germany;250;13005,75;6024,71;2,40;125,06
26;Misses;;250;18555,07;6393,37;1,53;113,83
;Misses;Germany;250;12925,64;6077,83;2,63;136,06
46;Misses;;250;18748,73;11588,12;2,38;178,56
;Misses;Germany;249;13749,19;5890,71;2,20;121,67
;Misses;Germany;249;20194,28;7914,10;2,47;199,94
59;Misses;Germany;249;37599,89;29278,60;5,66;854,54
;Misses;Germany;249;17097,44;6087,29;1,99;136,78
;Misses;Germany;248;18322,50;9918,88;2,23;165,07
;Misses;Germany;248;15074,93;8705,12;2,51;152,27
;Misses;Germany;247;17622,04;8958,59;2,13;151,91
26;Misses;;247;20348,76;11234,33;2,19;180,08
;Misses;Germany;247;17141,33;8521,93;2,38;164,82
;Misses;Germany;247;17776,68;10282,72;2,27;163,09
;Misses;Germany;247;14198,68;7110,95;2,66;152,67
;Misses;Germany;247;16460,04;8114,99;2,55;169,69
62;Misses;;247;17569,85;9965,54;2,13;151,46
;Misses;Germany;247;13372,29;5750,06;2,71;146,95
;Misses;Germany;246;13898,52;6361,75;3,46;195,75
;Misses;Germany;246;18976,26;10342,94;2,30;177,35
;Misses;Germany;246;17074,40;7674,42;2,30;159,57
;Misses;Germany;246;14979,36;6884,64;2,44;148,31
;Misses;Germany;246;23317,13;13316,96;2,00;189,57
;Misses;Germany;246;10215,65;4380,57;3,42;141,88
;Misses;Germany;245;17262,36;8139,40;1,87;131,77
;Misses;Germany;245;16252,10;9206,37;2,69;178,59
;Misses;Germany;245;16341,12;8944,72;3,45;230,16
;Misses;Germany;244;13875,90;7428,40;2,49;141,59
;Misses;Germany;244;16211,73;7352,31;2,09;138,56
;Misses;Germany;244;14942,29;6033,10;2,39;146,49
;Misses;Germany;244;19087,60;11975,64;2,32;181,79
;Misses;Germany;243;13808,68;6612,89;2,08;118,02
;Misses;Germany;243;12250,53;7099,75;2,36;118,94
;Misses;Germany;243;14976,82;8623,63;3,28;202,39
;Misses;Germany;242;13061,96;5913,75;2,52;136,06
;Misses;Germany;242;15871,80;8835,09;2,66;174,42
;Misses;Germany;242;18709,82;9361,06;2,55;196,95
46;Misses;Germany;241;8677,68;7580,35;7,09;255,23
;Misses;Germany;241;17562,81;7653,40;2,36;172,18
33;Misses;;241;16419,06;8162,72;2,62;178,47
;Misses;Germany;241;16044,76;6237,25;2,48;165,41
;Misses;Germany;241;14103,25;7487,23;2,39;139,64
;Misses;Germany;241;14507,36;7737,28;2,54;152,71
;Misses;Germany;241;16302,89;6320,57;2,27;153,80
60;Misses;Germany;241;16394,33;8368,85;3,95;268,76
35;Misses;;241;12329,36;4352,93;2,04;104,49
;Misses;Germany;240;15941,14;7419,14;2,26;150,39
;Misses;Germany;240;16200,05;5580,75;3,12;210,39
;Misses;Germany;240;18919,05;8775,43;2,42;191,10
;Misses;Germany;240;12870,16;5039,14;2,70;144,61
;Misses;Germany;240;19914,55;13960,06;3,38;280,49
;Misses;Germany;239;16307,71;6519,91;2,08;141,81
45;Misses;Austria;239;14102,37;6545,97;2,69;158,45
;Misses;Germany;239;15413,22;7663,61;2,19;141,41
;Misses;Germany;239;16416,23;9167,54;2,34;160,94
;Misses;Germany;239;17350,71;5358,84;2,19;159,18
;Misses;Germany;238;16678,35;10025,07;2,27;158,84
;Misses;Germany;238;11477,69;4691,94;2,11;101,57
38;Misses;Germany;237;7796,72;3356,85;5,93;194,92
;Misses;Poland;237;18410,05;5969,88;1,84;142,71
35;Misses;Austria;236;19775,83;11005,41;2,17;181,43
;Misses;Germany;236;13386,59;5462,99;2,31;131,24
;Misses;Germany;236;14396,82;6814,53;2,68;163,60
;Misses;Germany;236;14791,33;6681,14;2,02;126,42
45;Misses;;236;15138,91;8669,40;2,41;154,48
;Misses;Germany;236;13924,50;6564,54;3,23;190,75
;Misses;Germany;235;14091,42;6234,91;3,01;180,66
;Misses;Germany;235;18969,27;11323,33;3,22;259,85
40;Misses;Austria;235;13930,01;5431,52;2,97;176,33
;Misses;Germany;235;11144,99;4041,32;2,30;109,26
;Misses;Germany;235;15533,95;8996,16;2,16;142,51
;Misses;Germany;234;11527,54;4400,32;2,34;115,28
;Misses;Germany;234;14007,09;7363,30;2,75;164,79
;Misses;Germany;234;15546,18;9437,23;2,21;146,66
;Misses;Germany;234;13246,95;7202,38;2,85;161,55
;Misses;Germany;234;12537,42;6439,42;2,72;145,78
;Misses;Germany;234;15306,27;7250,01;2,13;139,15
;Misses;Germany;233;16810,87;8352,71;2,51;180,76
;Misses;Germany;233;11630,34;6101,81;3,11;155,07
;Misses;Austria;233;14919,58;3310,78;1,91;122,29
;Misses;Germany;233;17141,12;6523,77;2,22;163,25
;Misses;Germany;233;14025,03;6354,75;1,85;111,31
;Misses;Germany;233;13796,62;5031,46;2,56;151,61
;Misses;Germany;232;13087,66;6048,17;2,34;132,20
;Misses;Germany;232;15580,84;7788,82;2,52;169,36
;Misses;Germany;232;11306,81;4343,86;2,76;134,60
51;Misses;Germany;232;10312,84;7499,08;4,73;210,47
;Misses;Germany;232;15192,67;7177,12;2,34;153,46
;Misses;Germany;232;17702,10;8568,74;2,13;162,40
;Misses;Germany;232;17938,96;10790,51;2,25;174,16
;Misses;Germany;232;12825,04;6152,55;3,18;175,69
;Misses;Germany;231;14797,61;5184,10;2,38;152,55
40;Misses;Austria;231;13031,09;7735,81;4,28;241,32
;Mister;Germany;230;13276,79;10713,47;4,42;255,32
;Misses;Germany;230;14406,32;5814,73;2,13;133,39
;Misses;Germany;230;14679,78;5679,75;2,28;145,34
;Misses;Germany;230;14123,12;6743,88;2,30;141,23
51;Misses;Austria;228;12431,12;5791,77;2,43;132,25
;Misses;Germany;228;17424,50;10330,61;2,43;185,37
;Misses;Germany;228;14983,42;7160,17;2,45;161,11
33;Misses;Austria;228;9253,84;5633,65;4,47;181,45
;Misses;Germany;228;13566,83;6043,98;2,51;149,09
;Misses;Germany;227;14883,72;6875,64;2,06;135,31
;Misses;Austria;227;14249,32;4862,31;1,91;119,74
;Misses;Germany;227;14981,09;5924,27;2,14;141,33
;Misses;Germany;226;12298,61;6619,83;2,83;153,73
38;Misses;Austria;225;13248,43;5375,05;2,71;159,62
57;Mister;Germany;225;23104,86;836,90;2,01;206,29
;Misses;Germany;225;11755,30;5234,79;2,30;119,95
;Misses;Germany;225;19866,64;11355,85;2,37;209,12
39;Misses;Austria;224;15059,89;6426,05;2,99;200,80
;Misses;Germany;224;15115,26;4422,36;2,02;136,17
;Misses;Germany;224;16396,04;7342,95;2,41;176,30
;Mister;;224;14294,52;3232,88;1,68;107,48
;Misses;Germany;223;12505,18;5877,37;2,32;130,26
;Misses;Germany;223;11567,06;4719,27;2,69;139,36
42;Misses;Austria;223;13130,38;4428,55;3,33;195,98
;Misses;Germany;223;13531,66;7309,81;2,45;148,70
;Misses;Germany;222;13189,57;6290,98;2,55;151,60
;Misses;Germany;222;14677,46;7191,92;2,34;154,50
;Misses;Germany;222;12469,92;5531,29;2,27;127,24
30;Misses;Austria;222;15812,32;9727,66;3,89;277,41
;Misses;Germany;222;14322,20;8840,66;2,39;154,00
;Misses;Germany;221;13090,54;5301,01;2,48;147,08
;Misses;Germany;221;16368,12;10703,14;2,60;192,57
;Misses;Germany;221;12656,10;6453,58;2,15;122,87
;Misses;Germany;221;17267,13;11544,24;2,48;194,01
;Misses;Germany;221;15656,05;8065,97;2,46;173,96
44;Misses;Austria;221;12942,61;6948,34;2,76;161,78
;Misses;Germany;221;13952,26;9799,91;2,83;178,88
;Misses;Germany;221;12657,50;6167,94;2,76;158,22
;Misses;Germany;220;13435,57;9101,51;2,56;156,23
;Misses;Germany;220;9934,74;4522,13;3,61;162,86
;Misses;Germany;219;19280,16;10633,53;2,09;183,62
