age,title,country,order_q,order_v,return_v,avg_order_q,avg_order_v
,female,germany,455,32798.11,15565.85,2.16,155.44
,female,germany,454,3274.67,17621.26,2.45,176.25
28,female,,448,5133.16,32662.47,2.95,329.82
,female,germany,443,28411.13,1783.69,2.68,172.19
,female,germany,436,2794.5,13471.27,2.32,148.43
,female,germany,436,25527.19,12913.59,2.62,152.86
,female,germany,436,28956.76,16381.5,2.4,159.14
,female,germany,436,26253.75,13168.92,2.97,178.6
,female,germany,435,2623.8,1136.43,2.39,144.13
,female,germany,43,2559.2,14566.35,2.76,16.63
53,female,,427,2748.98,1446.38,3.32,29.68
,female,germany,422,23382.82,11514.54,3.36,168.22
53,female,,422,33651.65,2165.99,2.48,197.96
,female,germany,422,25153.97,12963.7,2.64,157.21
,female,germany,42,25298.52,122.14,2.44,147.84
54,female,,419,31265.36,1646.55,2.29,17.85
,female,germany,419,2657.36,13629.27,2.81,178.32
,female,germany,416,2745.5,14578.19,2.4,157.76
,female,germany,413,2322.15,9461.4,2.55,143.22
,female,germany,413,24716.47,131.12,2.66,159.46
,female,germany,48,24696.1,14472.54,2.72,164.65
,female,germany,46,26595.49,1473.35,1.84,118.22
,female,germany,43,2811.75,1294.37,2.38,166.34
,female,germany,42,28433.43,14989.49,2.51,177.79
,female,germany,4,22338.88,9664.73,2.86,159.56
,female,germany,399,25156.39,12249.42,3.24,24.52
,female,germany,396,21297.94,1663.23,2.44,131.47
,female,germany,396,22673.53,195.28,2.69,154.24
,female,germany,395,2667.66,12442.55,2.69,139.64
31,female,,394,32468.83,2666.48,2.72,223.92
,female,germany,391,21447.5,12473.3,2.72,148.94
,female,germany,389,2655.15,14265.49,2.39,162.88
,female,germany,386,2716.89,13996.7,2.14,15.94
41,female,austria,386,21916.46,9919.9,3.42,193.96
,female,germany,386,3151.93,16576.77,2.56,195.79
,female,germany,384,28349.48,1955.87,2.27,162.93
,female,germany,384,26585.24,1885.28,2.12,146.88
,female,germany,383,2471.22,13295.89,2.95,19.94
38,female,,381,36748.13,24557.72,2.34,225.45
,female,germany,377,24562.53,1568.5,1.97,128.6
,female,germany,376,24658.54,12185.17,2.52,165.49
,female,germany,376,21953.58,11366.39,2.89,168.87
47,female,,375,26982.97,1172.84,2.16,145.7
,female,germany,374,22183.33,12495.23,4,183.33
,female,germany,373,21426.2,1815.76,2.98,171.48
25,female,germany,372,6923.7,1659.11,1.18,194.23
57,female,germany,372,9986.8,1925.41,6.76,181.58
49,female,,37,3243.91,21511.18,2.83,245.48
46,female,germany,369,13527.32,845.16,21.76,795.72
,female,germany,365,24513.2,11319.17,2.57,172.63
,female,germany,365,287.6,9334.84,2.67,143.48
,female,germany,363,2214.5,14485.43,3.42,27.68
46,female,,362,23933.82,8247.95,1.75,115.62
,female,germany,361,25239.8,12718.14,2.21,154.85
,female,germany,361,2341.52,12391.2,2.47,157.82
29,female,,36,4248.4,2957.62,2.77,319.42
,female,germany,36,21751.6,8376.3,2.8,168.61
,female,germany,36,21112.26,8375.18,3.24,19.25
,female,austria,36,2267.38,7339.65,1.8,11.34
51,female,,359,28648.85,17791.92,2.61,27.64
,female,germany,359,25939.66,13158.4,2.14,154.43
55,female,,359,31129.53,1614.1,2.16,187.53
,female,germany,356,26454.89,12885.26,2.52,187.62
,female,germany,356,22773.89,11638.27,2.16,138.24
,female,germany,356,2335.46,9186.4,2.58,134.97
,female,germany,355,19211.19,1649.87,3.14,17.15
,female,germany,355,24.14,9536.66,2.32,13.98
,female,germany,353,24496.7,12616.27,2.89,144.96
45,female,,353,2592.55,734.66,1.83,16.7
,female,germany,352,263.27,9829.37,2.46,144.79
,female,germany,35,2331.61,1716.42,2.44,159.94
56,female,,35,26492.52,14711.86,2.32,175.45
,male,germany,349,2528.79,,12.34,863.62
,female,germany,349,25595.18,13876.23,2.48,181.53
,female,germany,348,21891.77,998.47,2.38,149.94
,female,germany,348,2153.96,933.38,2.62,151.53
,female,germany,348,25241.48,13226.9,2.46,177.76
,female,germany,348,25373.55,1117.4,2.34,17.29
,female,germany,347,2398.47,7418.98,2.51,147.82
51,female,,347,17517.13,842.63,2.18,11.18
,female,germany,347,19966.88,6915.51,2.31,133.11
,female,germany,347,2581.27,14147.2,2.69,194.43
,female,germany,345,24448.64,13565.51,2.61,185.22
,female,germany,345,2169.9,11983.81,2.88,168.83
58,female,,345,28797.8,16421.41,2.12,176.67
,female,germany,345,22349.49,1666.38,2.33,151.17
,female,germany,343,23981.75,13186.82,2.27,158.82
,female,germany,342,193.99,9956.71,2.48,139.86
,female,germany,341,24395.39,13527.11,2.44,174.25
,female,germany,34,24179.82,1992.53,1.88,133.59
,female,germany,34,2173.43,9545.13,2.86,169.52
,female,germany,339,1969.66,119.37,2.57,148.56
,female,germany,338,23415.46,11235.78,2.57,177.39
,female,germany,338,18746.29,1473.4,2.75,152.49
,female,germany,337,24228.22,11272.71,2.48,178.15
,female,germany,337,1967.21,1635.46,2.76,16.71
,female,germany,336,18768.34,126.7,4.38,24.62
,female,germany,336,1992.31,1366.72,2.56,151.93
,female,germany,334,2488.96,14693.94,2.43,178.48
,female,germany,333,2398.7,1384.4,2.36,17.71
52,female,,333,2758.51,13172.16,2.81,169.12
,female,germany,332,19197.47,9476.46,2.89,166.93
,female,germany,331,2149.19,9431.24,2.24,145.24
,female,germany,33,278.53,12135.13,2.6,163.59
36,female,austria,33,14722.34,6839.31,3.27,145.77
,female,germany,329,21436.48,9736.41,2.96,193.12
,female,germany,328,2254.1,1195.8,2.21,148.13
,female,germany,328,18615.29,1981.47,3.15,178.99
48,female,,327,253.19,17972.78,2.52,194.62
,female,,325,417.39,18745.13,1.36,171.84
,female,germany,324,24391.16,12388.59,2.38,179.35
,female,germany,324,13857.9,6711.46,3.24,138.58
,female,germany,324,28114.32,18313.2,2.49,216.26
,female,germany,323,2212.16,1652.65,2.37,158.11
,female,germany,321,2164.65,9325.76,2.29,15.46
48,female,,321,1987.73,8112.49,1.69,1.46
,female,germany,32,18966.4,9538.79,2.94,174.37
57,female,,319,23134.19,11966.87,2.15,155.26
,female,germany,318,19735.12,7519.23,2.16,13.7
,female,germany,318,18487.89,9169.44,2.81,163.7
,female,germany,315,22311.71,967.51,1.81,128.23
,female,germany,313,18182.42,7955.24,1.99,115.81
,female,germany,313,2162.9,1173.4,2.48,155.99
,female,germany,313,18969.2,874,2.22,134.53
42,female,,313,22792.41,8639.66,1.92,139.84
,female,germany,313,2147.49,1285.12,2.22,151.83
,female,germany,312,19759.3,8814.8,2.64,167.45
,female,germany,311,18368.6,8792.1,2.57,151.87
,female,germany,311,16255.11,8176.1,2.59,131.9
,female,germany,31,18335.49,9363.16,2.7,159.44
61,female,,31,2996.1,1187.33,2.42,164.32
,female,germany,38,2499.4,12928.64,2.4,159.6
,female,germany,37,2622.43,992.59,2.54,17.43
,female,germany,37,2499.19,941.28,2.12,141.37
,female,germany,35,19541.7,889.34,3.5,195.42
,female,germany,34,17975.93,781.45,3.12,183.43
34,female,germany,34,3778.3,3958.5,1.39,172.51
,female,germany,33,16882.9,178.68,3.37,187.59
,female,germany,33,22964.5,12361.95,2.42,183.71
,female,germany,33,18996.51,7483.23,2.39,149.58
,female,germany,33,18694.86,12131.59,3.52,217.38
54,female,,32,16898.8,7448.48,2.83,116.54
,female,germany,31,1919.63,9915.81,2.33,147.44
,female,germany,31,1846.66,131.16,3.72,222.8
44,female,,3,18896.27,6749.84,1.72,18.6
43,female,,3,16762.67,539.66,1.85,13.47
52,female,,3,16975.56,5225.29,1.74,98.7
,female,germany,3,19851.24,921.22,2.68,177.24
,female,germany,3,2332.51,972.13,2.86,193.64
,female,germany,3,17243.39,725.94,2.69,149.94
32,female,,299,3719.84,24169.61,2.79,345.98
,female,germany,299,17469.34,873,2.32,135.42
55,female,,298,1613.46,6962.17,2.37,127.99
,female,germany,298,19697.74,11228.3,2.98,196.98
47,female,,298,25211.76,1414.19,2.13,18.84
,female,germany,297,17434.52,7756.19,2.86,167.64
31,female,,297,17942.45,1267.67,1.82,11.76
,female,germany,297,19983.95,926.76,2.48,166.53
,female,germany,296,15691.53,7289.19,2.57,136.45
39,male,germany,296,45269.23,6827.7,1.62,247.37
,female,germany,296,1769.69,6872.7,2.58,144.66
,female,germany,294,2148.7,16142.37,2.18,159.11
,female,germany,294,19942.17,9928.21,2.1,142.44
,female,germany,294,16128.3,965.92,3,164.57
,female,germany,294,1986.61,11322.52,2.8,189.15
,female,germany,293,1539.7,818.29,2.76,145.2
46,female,germany,293,3494.98,1698.35,5.86,681.9
,female,germany,293,2479.89,1492.63,2.42,167.87
,female,germany,293,14459.24,6749.73,3.57,176.33
41,female,,293,22341.85,14469.96,2.66,23.18
,female,germany,293,2931.54,9739.22,2.42,172.99
,female,germany,293,21442.48,1237.22,3.26,238.25
,female,germany,292,1975.14,1115.69,2.15,145.22
,female,germany,291,2883.29,1397.79,2.43,174.27
,female,austria,291,15997.29,5715.58,2.72,149.57
,female,austria,29,15363.76,393.28,2.28,17.44
,female,germany,29,1723.6,1612.61,2.59,153.6
,female,germany,29,17748.78,5994.57,2.16,132.45
27,female,,29,2838.51,1924.9,2.48,239.65
,female,germany,29,18662.45,12923.48,2.87,184.78
,female,germany,289,18884.88,9764.75,1.89,123.44
,female,germany,289,17515.63,7351.89,2.54,153.65
,female,germany,289,21178.28,9847.99,2.22,163
,female,germany,288,21841.85,11414.12,2.72,157.14
,female,germany,288,1841.58,6747.69,2.57,161.86
,female,germany,287,18687.86,9614.3,2.39,155.73
45,female,austria,287,15216.47,891.62,4.42,214.32
,female,germany,287,2376.3,11478.54,2.33,165.66
,female,germany,286,17661.8,1599.68,2.72,168.28
,female,germany,285,15968.88,8247.35,2.71,152.85
,female,germany,285,16251.3,8624.42,2.61,149.94
,female,germany,285,14874.81,7347.52,2.82,147.28
,female,germany,285,21173.1,1221.81,2.18,161.63
,female,germany,284,16691.18,4871.31,2.18,128.39
,female,germany,284,2419.18,767.11,2.49,179.12
,female,germany,284,16228.5,7935.39,2.65,151.66
,female,germany,284,19443.15,8339.8,1.96,13.5
59,female,,283,2336.12,11647.94,1.99,143.21
,female,germany,283,18152.16,9449.72,2.53,162.73
,female,germany,282,16646.53,8351.42,2.12,125.16
,female,germany,282,18131.42,938.8,2.56,164.83
,female,germany,282,21935.5,11.57,2.17,168.73
34,female,,282,24149.39,1644.47,2.71,232.26
,female,austria,281,15749.3,5861.16,2.71,112.5
,female,germany,281,17593.46,9363.81,3.22,189.18
,female,germany,279,1689.47,9369.36,2.33,14.75
,female,germany,278,14125.88,7166.36,2.42,122.83
,female,germany,278,1716.91,8291.8,2.55,156.12
,female,germany,278,19132.41,12261.65,3.88,262.88
,female,germany,278,18718.38,1216.51,2.26,148.56
,female,germany,278,1871.77,991.84,2.67,179.82
,female,germany,277,13846.82,687.46,2.35,117.35
,female,germany,277,2711.11,8623.92,2.5,186.59
,female,germany,276,24626.4,144.3,2.63,234.53
33,female,,275,23892.34,17376.94,2.59,225.4
,female,germany,275,1833.56,1423.5,2.43,161.98
49,female,,275,1745.15,815.67,1.89,114.84
,female,germany,274,16842.6,1212.12,2.71,166.75
,female,poland,274,15415.75,5727.53,1.99,111.78
,female,germany,274,18491.52,8249.84,2.69,181.29
25,female,,274,25433.29,14554.54,2.23,26.77
,female,germany,273,2943.27,1359.14,2.55,195.73
,female,germany,273,18157.21,926.27,2.46,163.58
,female,germany,273,16196.49,78.77,2.53,149.97
,female,germany,273,16124.29,6747.92,2.26,133.26
,female,germany,273,18317.7,1144.5,3.96,265.47
,female,germany,273,287.43,1224.51,2.73,2.87
,female,germany,272,17439.86,8991.9,2.39,152.98
,female,germany,272,15887.89,698.95,2.18,127.13
,female,germany,272,1492.18,7181.77,2.34,128.47
42,male,germany,271,19173.3,1218.91,3.35,233.83
59,female,germany,27,11299.26,478.67,3.7,154.78
,female,austria,27,16216.49,5314.48,2.62,123.79
,female,germany,27,2498.47,13131.94,2.97,225.26
,female,germany,27,18568.3,883.55,2.93,199.66
,female,germany,27,16449.1,7476.63,2.21,134.83
,female,germany,269,178,7332.24,2.59,164.24
,female,germany,269,1454.34,7115.25,2.77,149.53
,female,germany,268,18217.41,9211.6,2.23,151.81
,female,germany,268,17479.56,8923,2.68,174.8
,female,germany,267,1483.98,6625.93,2.32,128.97
,female,germany,267,1413,6745.91,2.7,142.45
,female,germany,267,17471.97,9842.24,2.5,163.29
,female,germany,266,17638.3,132.3,2.24,148.22
38,female,,265,16233.33,4996.42,1.83,11.44
,female,germany,265,16335.15,7837.83,2.54,126.63
41,female,,265,1495.47,567.99,1.52,85.66
,female,austria,264,19644.1,8427.58,2.95,155.96
,female,germany,264,16187.65,7884.13,2.64,161.88
,female,germany,264,17194.55,8819.33,2.61,17.24
,female,germany,263,15363.23,7679.13,2.27,132.44
37,female,,263,21676.34,9785.86,1.83,15.53
,female,germany,263,1979.4,11774.64,2.66,199.93
52,female,germany,263,32387.25,13824.5,1.56,191.65
,female,germany,263,16529.64,7983.64,2.46,154.48
,female,germany,262,17697.26,1128.92,2.14,143.88
63,female,,262,16167.11,8366.72,2.15,124.36
,female,germany,262,21998.73,9258.24,2.17,181.88
,female,germany,261,16196.96,8843.75,2.29,142.79
,female,germany,261,15228.36,751.88,2.77,117.14
33,female,germany,26,326.92,2172.6,18.57,216.29
,female,germany,26,1853.29,115.16,2.24,159.51
,female,germany,26,15748.41,8244.72,3.59,185.28
,female,germany,26,2248.45,11843.4,2.23,189.92
56,female,,26,1423.87,675.75,1.82,99.52
,female,germany,26,263.3,1565.72,2.31,156.74
,female,germany,259,14327.25,7481.57,2.43,133.9
,female,austria,259,14722.28,5796.68,2.51,142.93
,female,germany,258,1464.8,6254.52,2.41,136.49
44,female,,258,25211.48,14826.83,2.39,233.44
,female,germany,257,9765.74,4451.24,4.79,155.12
42,female,,257,18589.16,9473.73,2.47,178.74
,female,germany,256,1787.74,7573.58,2.44,162.74
,female,germany,256,14569.92,7397.24,2.44,138.76
,female,germany,255,15887.87,6314.22,2.36,147.2
,female,germany,255,227.16,12448.95,2.63,28.32
,female,germany,255,15968.53,7682.3,2.36,147.86
,female,germany,254,15996.25,8229.51,2.57,161.58
,female,germany,254,1791.52,8851.77,2.4,168.97
,female,germany,254,16526.26,5684.71,2.89,187.8
,female,germany,254,1482.15,6122,1.97,19.16
,female,germany,253,16134.87,8725.48,2.66,169.85
,female,germany,253,21466.11,166.53,2.75,233.33
,female,germany,253,13781.99,7135.39,3.47,188.79
31,female,austria,253,9484.23,4411.16,5.28,197.59
,female,germany,253,1375.3,6268.57,2.98,161.24
,female,germany,251,9758.6,6568.4,4.33,168.24
,female,germany,251,16535.83,8313.16,2.51,165.36
28,female,germany,251,9885.47,412.88,8.97,318.89
57,female,,251,12442.86,454.65,1.92,94.26
,female,germany,25,15825.6,8172.54,2.16,136.42
,female,germany,25,135.75,624.71,2.44,125.55
26,female,,25,18555.75,6393.37,1.53,113.83
,female,germany,25,12925.64,677.83,2.63,136.59
46,female,,25,18748.73,11588.12,2.39,178.56
,female,germany,249,13749.19,589.71,2.24,121.67
,female,germany,249,2194.28,7914.1,2.47,199.94
59,female,germany,249,37599.89,29278.6,5.66,854.54
,female,germany,249,1797.44,687.29,1.99,136.78
,female,germany,248,18322.5,9918.88,2.23,165.68
,female,germany,248,1574.93,875.12,2.56,152.27
,female,germany,247,17622.4,8958.59,2.13,151.91
26,female,,247,2348.76,11234.33,2.19,18.78
,female,germany,247,17141.33,8521.93,2.38,164.82
,female,germany,247,17776.68,1282.72,2.27,163.89
,female,germany,247,14198.68,711.95,2.66,152.67
,female,germany,247,1646.4,8114.99,2.55,169.69
62,female,,247,17569.85,9965.54,2.13,151.46
,female,germany,247,13372.29,575.6,2.71,146.95
,female,germany,246,13898.52,6361.75,3.46,195.75
,female,germany,246,18976.26,1342.94,2.3,177.35
,female,germany,246,1774.4,7674.42,2.3,159.57
,female,germany,246,14979.36,6884.64,2.44,148.31
,female,germany,246,23317.13,13316.96,2,189.57
,female,germany,246,1215.65,438.57,3.42,141.88
,female,germany,245,17262.36,8139.4,1.87,131.77
,female,germany,245,16252.1,926.37,2.69,178.59
,female,germany,245,16341.12,8944.72,3.46,23.16
,female,germany,244,13875.9,7428.4,2.49,141.6
,female,germany,244,16211.73,7352.31,2.85,138.56
,female,germany,244,14942.29,633.1,2.39,146.49
,female,germany,244,1987.6,11975.64,2.32,181.79
,female,germany,243,1388.68,6612.89,2.77,118.23
,female,germany,243,1225.53,799.75,2.36,118.94
,female,germany,243,14976.82,8623.63,3.28,22.39
,female,germany,242,1361.96,5913.75,2.53,136.63
,female,germany,242,15871.8,8835.9,2.66,174.42
,female,germany,242,1879.82,9361.6,2.55,196.95
46,female,germany,241,8677.68,758.35,7.88,255.23
,female,germany,241,17562.81,7653.4,2.36,172.18
33,female,,241,16419.6,8162.72,2.62,178.47
,female,germany,241,1644.76,6237.25,2.48,165.5
,female,germany,241,1413.25,7487.23,2.39,139.64
,female,germany,241,1457.36,7737.28,2.54,152.8
,female,germany,241,1632.89,632.57,2.27,153.88
35,female,,241,12329.36,4352.93,2.42,14.49
,female,germany,24,15941.14,7419.14,2.26,15.39
,female,germany,24,162.5,558.75,3.12,21.39
,female,germany,24,18919.5,8775.43,2.42,191.12
,female,germany,24,1287.16,539.14,2.7,144.69
,female,germany,24,19914.55,1396.6,3.38,28.49
,female,germany,239,1637.71,6519.91,2.78,141.86
45,female,austria,239,1412.37,6545.97,2.69,158.45
,female,germany,239,15413.22,7663.61,2.19,141.46
,female,germany,239,16416.23,9167.54,2.34,16.94
,female,germany,239,1735.71,5358.84,2.19,159.19
,female,germany,238,16678.35,125.7,2.27,158.84
,female,germany,238,11477.69,4691.94,2.16,11.57
38,female,germany,237,7796.72,3356.85,5.93,194.92
,female,poland,237,1841.55,5969.88,1.84,142.71
35,female,austria,236,19775.83,115.41,2.17,181.43
,female,germany,236,13386.59,5462.99,2.31,131.24
,female,germany,236,14396.82,6814.53,2.68,163.62
,female,germany,236,14791.33,6681.14,2.18,126.42
45,female,,236,15138.91,8669.4,2.48,154.48
,female,germany,236,13924.5,6564.54,3.23,19.75
,female,germany,235,1491.42,6234.91,3.13,18.66
,female,germany,235,18969.27,11323.33,3.22,259.85
,female,germany,235,11144.99,441.32,2.34,19.26
,female,germany,235,15533.95,8996.16,2.16,142.51
,female,germany,234,11527.54,44.32,2.34,115.28
,female,germany,234,147.9,7363.3,2.75,164.79
,female,germany,234,15546.18,9437.23,2.28,146.66
,female,germany,234,13246.95,722.38,2.85,161.55
,female,germany,234,12537.42,6439.42,2.73,145.78
,female,germany,234,1536.27,725.1,2.13,139.15
,female,germany,233,1681.87,8352.71,2.55,18.76
,female,germany,233,1163.34,611.81,3.17,155.71
,female,austria,233,14919.58,331.78,2,122.29
,female,germany,233,17141.12,6523.77,2.22,163.25
,female,germany,233,1425.3,6354.75,1.85,111.4
,female,germany,233,13796.62,531.46,2.56,151.61
,female,germany,232,1387.66,648.17,2.34,132.2
,female,germany,232,1558.84,7788.82,2.52,169.36
,female,germany,232,1136.81,4343.86,2.76,134.65
51,female,germany,232,1312.84,7499.8,4.73,21.47
,female,germany,232,15192.67,7177.12,2.34,153.46
,female,germany,232,1772.1,8568.74,2.13,162.45
,female,germany,232,17938.96,179.51,2.25,174.16
,female,germany,232,12825.4,6152.55,3.18,175.69
,female,germany,231,14797.61,5184.1,2.38,152.55
,male,germany,23,13276.79,1713.47,4.42,255.32
,female,germany,23,1446.32,5814.73,2.13,133.39
,female,germany,23,14679.78,5679.75,2.28,145.34
,female,germany,23,14123.12,6743.88,2.3,141.23
51,female,austria,228,12431.12,5791.77,2.43,132.25
,female,germany,228,17424.5,133.61,2.43,185.37
,female,germany,228,14983.42,716.17,2.45,161.11
33,female,austria,228,9253.84,5633.65,4.48,181.45
,female,germany,228,13566.83,643.98,2.55,149.86
,female,germany,227,14883.72,6875.64,2.64,135.37
,female,austria,227,14249.32,4862.31,1.98,119.74
,female,germany,227,14981.9,5924.27,2.14,141.33
,female,germany,226,12298.61,6619.83,2.83,153.73
38,female,austria,225,13248.43,5375.5,2.72,159.62
57,male,germany,225,2314.86,836.9,2.89,26.29
,female,germany,225,11755.3,5234.79,2.3,119.95
,female,germany,225,19866.64,11355.85,2.37,29.12
39,female,austria,224,1559.89,6426.5,2.99,2.8
,female,germany,224,15115.26,4422.36,2.18,136.17
,female,germany,224,16396.4,7342.95,2.49,176.32
,male,,224,14294.52,3232.88,1.68,17.48
,female,germany,223,1255.18,5877.37,2.32,13.26
,female,germany,223,11567.6,4719.27,2.69,139.36
42,female,austria,223,1313.38,4428.55,3.33,195.98
,female,germany,223,13531.66,739.81,2.46,148.7
,female,germany,222,13189.57,629.98,2.55,151.64
,female,germany,222,14677.46,7191.92,2.34,154.5
,female,germany,222,12469.92,5531.29,2.27,127.24
,female,germany,222,14322.2,884.66,2.39,154.22
,female,germany,221,139.54,531.1,2.48,147.85
,female,germany,221,16368.12,173.14,2.6,192.57
,female,germany,221,12656.1,6453.58,2.15,122.87
,female,germany,221,17267.13,11544.24,2.48,194.13
,female,germany,221,15656.5,865.97,2.46,173.96
44,female,austria,221,12942.61,6948.34,2.76,161.78
,female,germany,221,13952.26,9799.91,2.83,178.88
,female,germany,221,12657.5,6167.94,2.76,158.22
,female,germany,22,13435.57,911.51,2.56,156.23
,female,germany,22,9934.74,4522.13,3.67,162.86
,female,germany,219,1928.16,1633.53,2.86,183.63
51,male,germany,218,25519.3,1866.7,4.19,49.76
,female,germany,218,17723.46,9636.42,1.95,158.25
,female,germany,218,1793.85,6346.86,3.11,154.2
,female,germany,217,17553.45,9929.89,2.39,186.74
,female,germany,217,13992.79,6562.13,2.26,145.76
,female,germany,217,1892.46,5843.32,2.28,169.88
,female,germany,217,13237.7,555.3,2.87,127.29
,female,germany,216,15593.45,621.28,2.54,183.45
,female,germany,216,1448.67,69.45,2.57,167.25
,female,germany,215,1332.36,5823.41,2.26,14.21
,female,germany,215,15184.17,8629.64,2.15,151.84
34,female,austria,215,14392.91,5616.33,2.42,161.72
,female,germany,215,14223.46,6113.11,2.19,145.14
,female,germany,215,1422.89,5648.42,2.15,142.29
,female,germany,215,13383.69,616.84,2.47,153.84
,female,germany,214,15545.93,7392.49,2.68,194.32
38,female,germany,214,11745.8,7763.99,2.25,123.64
,female,germany,214,13765.54,516.22,1.88,12.75
,female,germany,214,11576.19,5753.55,2.23,12.59
,female,germany,214,1328.12,5343.2,2.32,142.23
,female,germany,214,13121.93,8569.16,2.89,177.32
,female,germany,214,1231.98,5237.5,2.33,133.72
,female,germany,214,1518.23,5736.75,2.14,151.82
38,female,austria,213,142.89,671.32,2.92,142.55
,female,germany,213,14538.29,633.17,2.35,159.76
,female,germany,213,1487.58,6748.49,2.24,156.53
24,female,,213,1165.45,3986.65,1.65,89.96
,female,austria,213,15753.35,548.1,2.29,15.32
,female,germany,213,13216.73,7265.23,3.18,197.26
,female,germany,212,1484.74,8437.63,2.62,182.77
,female,germany,212,12163.42,6992.44,3.26,187.13
,female,germany,212,151.52,6538.3,2.38,144.25
,female,germany,212,1922.18,441.72,2.47,127.29
36,female,,211,15356.79,8169.32,2.34,17.63
,female,germany,211,15277.1,5997.56,1.97,142.78
,female,germany,211,14532.34,8323.48,2.18,149.82
,female,germany,211,15221.94,634.76,2.89,28.52
25,female,,211,1337.95,4826.65,1.53,96.43
41,female,austria,211,8735.95,5521.75,3.77,156
,female,germany,211,15221.77,9478.47,3.15,227.2
31,female,,211,16914.2,9548.96,2.65,28.82
,female,germany,211,1268.19,6673.27,2.81,168.19
,female,germany,21,11528.39,344.96,2.19,12.87
37,female,austria,21,1881.58,4581.79,2.76,143.18
59,female,germany,29,11155.84,8484.32,3.12,166.56
46,female,austria,29,14981.55,755.3,2.65,189.64
,female,germany,29,143.62,845.32,2.96,137.56
44,female,germany,28,12593.47,6759.13,4.73,286.22
31,female,austria,28,12384.34,6385.76,2.63,156.76
,female,germany,28,1447.72,5421.35,2.42,163.35
,female,germany,28,16721.7,767.67,2.36,19.19
,female,germany,28,1589,5657.27,2.11,152.41
,female,germany,28,14895.18,8646.85,2.48,177.32
,female,germany,28,9913.41,5297.37,2.6,123.92
,female,germany,28,13181.86,8959.11,2.6,164.77
,female,germany,28,13929.23,757.94,2.42,161.97
59,female,germany,27,24111.91,9954.7,8.28,964.48
,female,germany,27,12221.6,5539.2,2.52,149.44
,female,germany,27,12799.16,6346.12,2.69,166.22
,female,germany,27,15625.56,6531.74,2.29,153.19
,female,germany,27,1113.63,4647.89,2.56,137.42
61,female,austria,27,9438.59,194.34,5.59,255.97
,female,germany,27,1473.38,7424.73,2.13,151.58
,female,germany,27,11154.9,4864.86,3.18,171.61
,female,germany,26,14142.63,766.2,2.29,157.14
39,female,,26,11149.13,3384.15,1.78,96.11
,female,germany,26,9764.11,2859.19,2.82,133.75
54,female,austria,26,995.54,3332.59,3.61,159.58
,female,germany,26,1797.32,5323.57,2.31,121.32
43,female,,25,18263.35,1657.41,2.23,198.51
,female,germany,25,11176.74,5451.72,2.56,139.79
,female,germany,25,1278.78,7428.75,2.97,184.19
35,female,austria,25,971.3,4486.51,3.17,147.12
,female,germany,25,11713.23,68.53,2.5,117.13
,female,germany,24,1189.45,4222.98,2.14,122.58
,female,germany,24,14171.82,7785.17,2.27,157.46
,female,germany,23,11561.68,3714,2.42,137.64
,female,germany,23,12283.73,5172.44,2.64,159.53
,female,germany,23,1339.23,6855.61,2.24,147.15
